bookings_id,name,thumbnail,subcategory,city,longitude,latitude,address,district,price,currency_code,rating,popularity,detail_url
241857,Hotel East 21 Tokyo,https://cf.bstatic.com/xdata/images/hotel/square60/152040864.jpg?k=32b69ee573cbb60d3c9b5596b1a3678086add8c3e6d31a287be974dff7ab7288&o=,Hotel,Tokyo,139.81492459774,35.6746462975249,Koto-ku Toyo  6-3-3 ,Koto Ward,9148.5,JPY,8.5,308.0,https://www.booking.com/hotel/jp/east-21-tokyo.html
251139,Hotel Ryumeikan Tokyo,https://cf.bstatic.com/xdata/images/hotel/square60/2671342.jpg?k=f0080b30ae14fba1cb8126c2d7d24c41b8527aae403361f48b66890a2dcb12b2&o=,Hotel,Tokyo,139.771006777883,35.6831750289373,Chuo-ku Yaesu 1-3-22,Chuo Ward,13680.0,JPY,8.9,499.0,https://www.booking.com/hotel/jp/ryumeikan-tokyo.html
3765983,Miyako City Tokyo Takanawa,https://cf.bstatic.com/xdata/images/hotel/square60/363954670.jpg?k=0563c0599b48076ed0034bf4c17b221dab0e6c848c49e7ae9bacacaec430775b&o=,Hotel,Tokyo,139.737798845404,35.6336151000519,Minato-ku Takanawa 3-19-17,Minato,11168.44,JPY,8.8,1736.0,https://www.booking.com/hotel/jp/jia-cheng-hoterujin-tie-dong-jing-dong-jing-gao-lun.html
731907,Shinjuku Granbell Hotel,https://cf.bstatic.com/xdata/images/hotel/square60/89610418.jpg?k=93cdbc225541eee5b38d9858e5fea1ecc28f6fad74f6a9768294d2f5568c905d&o=,Hotel,Tokyo,139.705446213484,35.696575964097,Shinjuku-ku Kabukicho 2-14-5,Shinjuku Ward,9288.72,JPY,8.0,2173.0,https://www.booking.com/hotel/jp/shinjuku-granbell.html
6373172,Aloft Tokyo Ginza,https://cf.bstatic.com/xdata/images/hotel/square60/276024864.jpg?k=60f76d9b0c180c60c7c588a55d1e4e16b3af2aacdb77d05be4c27d16cd78f10e&o=,Hotel,Tokyo,139.765688979168,35.6688962458443,Chou-ku Ginza 6-14-5,Chuo Ward,24200.0,JPY,8.9,18.0,https://www.booking.com/hotel/jp/aloft-tokyo-ginza.html
450440,Rihga Royal Hotel Tokyo,https://cf.bstatic.com/xdata/images/hotel/square60/58323680.jpg?k=41a6a5db5ab4e39ac76d04cf797570a111c1652ee78da98383d9b50f2061bc03&o=,Hotel,Tokyo,139.722530543804,35.7105939121815,Shinjuku-ku Totsuka-machi 1-104-19,Shinjuku Ward,19950.0,JPY,8.6,465.0,https://www.booking.com/hotel/jp/rihga-royal-tokyo.html
323291,Shinjuku Prince Hotel,https://cf.bstatic.com/xdata/images/hotel/square60/343861257.jpg?k=0ad008db5022ea8c1b1fa099d75a9caf576fe109a87573928bdc09843544d3a9&o=,Hotel,Tokyo,139.700402319431,35.6940772741981,"Shinjuku-ku, Kabuki-cho 1-30-1",Shinjuku Ward,11780.0,JPY,8.0,2958.0,https://www.booking.com/hotel/jp/shinjuku-prince.html
401057,Dai-ichi Hotel Tokyo Seafort,https://cf.bstatic.com/xdata/images/hotel/square60/66847596.jpg?k=1ade7ce324cd340616130b7c1117b4c06523f991161aae8a673e267d12390053&o=,Hotel,Tokyo,139.751372337341,35.6240608825916,Shinagawa-ku Higashi-shinagawa 2-3-15,Shinagawa Ward,12237.5,JPY,8.7,513.0,https://www.booking.com/hotel/jp/dai-ichi-tokyo-seafort.html
408358,Asakusa View Hotel,https://cf.bstatic.com/xdata/images/hotel/square60/358135039.jpg?k=6ec7d5e872110a370c758a4176333e256b079806c6c1648cd360af4198742b19&o=,Hotel,Tokyo ,139.792251884937,35.7153110786829,Taito-ku Nishiasakusa 3-17-1,Taito,16564.96,JPY,8.5,1956.0,https://www.booking.com/hotel/jp/asakusa-view-tokyo.html
3817853,hotel MONday Premium TOYOSU,https://cf.bstatic.com/xdata/images/hotel/square60/177210933.jpg?k=6c375ebfa9d5cfbf61fd271cb32286cb21f975953c89bdddf45f444c98e49a88&o=,Hotel,Tokyo,139.800851,35.648731,"Koto-ku, Shinonome 1-2-11",Koto Ward,8436.0,JPY,8.2,1437.0,https://www.booking.com/hotel/jp/monday.html
3817653,karaksa hotel TOKYO STATION,https://cf.bstatic.com/xdata/images/hotel/square60/208380374.jpg?k=88e5bf20ce16626f239e5d9063b8bae4dbbd183ce77cf56dd8e94863de20bd3a&o=,Hotel,Tokyo,139.771052624676,35.6821216311243,"Chuo-ku, Yaesu 1-5-3",Chuo Ward,17955.0,JPY,8.8,4492.0,https://www.booking.com/hotel/jp/karakusahoterudong-jing-sutesiyon.html
7183282,the b ginza,https://cf.bstatic.com/xdata/images/hotel/square60/303817186.jpg?k=fe113bfb57aec4a6b4ea230b48ba91dbed3d168aceebab0128338a9f62012ef2&o=,Hotel,Tokyo,139.762751081654,35.6673879569046,"Chuo-ku, Ginza 8-12-13",Chuo Ward,9120.0,JPY,8.7,508.0,https://www.booking.com/hotel/jp/the-b-ginza-dong-jing.html
2741152,Tokyo Bay Tokyu Hotel,https://cf.bstatic.com/xdata/images/hotel/square60/334248464.jpg?k=338b5574e1db32887c25d9c989675a3455f06d3db635fe6ccdfa66864ac8d640&o=,Hotel,Urayasu,139.932485229639,35.6376372563497,Hinode 7-2-3,Urayasu,15010.0,JPY,9.1,4229.0,https://www.booking.com/hotel/jp/tokyo-bay-tokyu.html
